Position_m,Hot_Temp_K,Hot_Temp_C,Cold_Temp_K,Cold_Temp_C
0.0000,373.0000,99.8500,273.0000,-0.1500
0.2000,365.2134,92.0634,273.7102,0.5602
0.4000,358.0884,84.9384,274.3600,1.2100
0.6000,351.5688,78.4188,274.9546,1.8046
0.8000,345.6031,72.4531,275.4987,2.3487
1.0000,340.1444,66.9944,275.9966,2.8466
1.2000,335.1494,61.9994,276.4522,3.3022
1.4000,330.5789,57.4289,276.8690,3.7190
1.6000,326.3967,53.2467,277.2504,4.1004
1.8000,322.5699,49.4199,277.5995,4.4495
2.0000,319.0682,45.9182,277.9188,4.7688
2.2000,315.8640,42.7140,278.2111,5.0611
2.4000,312.9322,39.7822,278.4785,5.3285
2.6000,310.2494,37.0994,278.7232,5.5732
2.8000,307.7945,34.6445,278.9471,5.7971
3.0000,305.5483,32.3983,279.1519,6.0019
3.2000,303.4929,30.3429,279.3394,6.1894
3.4000,301.6122,28.4622,279.5109,6.3609
3.6000,299.8912,26.7412,279.6679,6.5179
3.8000,298.3165,25.1665,279.8115,6.6615
4.0000,296.8756,23.7256,279.9429,6.7929
4.2000,295.5571,22.4071,280.0632,6.9132
4.4000,294.3507,21.2007,280.1732,7.0232
4.6000,293.2467,20.0967,280.2739,7.1239
4.8000,292.2366,19.0866,280.3660,7.2160
5.0000,291.3123,18.1623,280.4503,7.3003
5.2000,290.4665,17.3165,280.5275,7.3775
5.4000,289.6926,16.5426,280.5980,7.4480
5.6000,288.9844,15.8344,280.6626,7.5126
5.8000,288.3364,15.1864,280.7217,7.5717
6.0000,287.7435,14.5935,280.7758,7.6258
6.2000,287.2010,14.0510,280.8253,7.6753
6.4000,286.7045,13.5545,280.8706,7.7206
6.6000,286.2502,13.1002,280.9120,7.7620
6.8000,285.8346,12.6846,280.9499,7.7999
7.0000,285.4542,12.3042,280.9846,7.8346
7.2000,285.1062,11.9562,281.0163,7.8663
7.4000,284.7877,11.6377,281.0454,7.8954
7.6000,284.4963,11.3463,281.0720,7.9220
7.8000,284.2297,11.0797,281.0963,7.9463
8.0000,283.9857,10.8357,281.1185,7.9685
8.2000,283.7624,10.6124,281.1389,7.9889
8.4000,283.5582,10.4082,281.1575,8.0075
8.6000,283.3712,10.2212,281.1746,8.0246
8.8000,283.2002,10.0502,281.1902,8.0402
9.0000,283.0437,9.8937,281.2045,8.0545
9.2000,282.9005,9.7505,281.2175,8.0675
9.4000,282.7694,9.6194,281.2295,8.0795
9.6000,282.6495,9.4995,281.2404,8.0904
9.8000,282.5398,9.3898,281.2504,8.1004
10.0000,282.4394,9.2894,281.2596,8.1096
